Shelfmark ,Catalogue volume,Catalog pp. (begin),Catalog pp. (end),Wright’s Numeration ,Wright’s Dating,,Wright Numeration OCR,Shelfmark,ShelfmarkOCR,,,,,MS to fix
"Add. 14,667, foll. 70,71",1,254,254,CCCXIV,10c,,,"Add.14,667,foll.70,71","Add.14,667,foll.72,73",,,,,
"Add. 14,667, foll. 72,73",1,202,203,CCLIII,11c,,,"Add.14,667,foll.72,73","Add.14,667,foll.74and75",,,,,
"Add. 14,667, foll. 74,75",1,312,312,CCCXC,11c,,,"Add.14,667,foll.74,75","Add.14,667,foll.76-78",,,,,
"Add. 14,667, foll. 76-78",1,316,316,CCCCI,10c-11c,,,"Add.14,667,foll.76-78","Add.14,667,folL46-49",,,,,
"Add. 14,668, fol. 44",2,788,788,DCCXCIV,9c,,,"Add.14,668,fol.44","Add.14,668,fol.44",,,,,
"Add. 14,668, fol. 45",2,480,481,DC,8c-9c,,,"Add.14,668,fol.45","Add.14,668,fol.45",,,,,
"Add. 14,668, fol. 46",3,1196,1196,MXVI,888,,,"Add.14,668,fol.46","Add.14,668,fol.46",,,,,
"Add. 14,668, foll. 12-19",1,27,27,XLIV,7c,,,"Add.14,668,foll.12-19","Add.14,668,foll.12-19",,,,,
"Add. 14,668, foll. 1-3",1,1,1,XIV,9c,,,"Add.14,668,foll.1-3","Add.14,668,foll.1-3",,,,,
"Add. 14,668, foll. 20-25",1,20,21,XXXIII,8c,,,"Add.14,668,foll.20-25","Add.14,668,foll.20-25",,,,,
"Add. 14,668, foll. 26-29",1,37,37,LVIII,8c,,,"Add.14,668,foll.26-29","Add.14,668,foll.26-29",,,,,
"Add. 14,668, foll. 30,31",1,72,72,CXIV,9c,,,"Add.14,668,foll.30,31","Add.14,668,foll.30and31",,,,,
"Add. 14,668, foll. 32-36",2,482,482,DCVII,6c,,,"Add.14,668,foll.32-36","Add.14,668,foll.32-36",,,,,
"Add. 14,668, foll. 37-39",2,605,606,DCCIX,9c-10c,,,"Add.14,668,foll.37-39","Add.14,668,foll.37-39",,,,,
"Add. 14,668, foll. 40-43",2,769,769,DCCLXXXIV,866,,,"Add.14,668,foll.40-43","Add.14,668,foll.40-43",,,,,
"Add. 14,668, foll. 4-11",1,37,37,LIX,8c,,,"Add.14,668,foll.4-11","Add.14,668,foll.4-11",,,,,
"Add. 14,669, fol. 19",2,481,481,DCI,10c,,,"Add.14,669,fol.19","Add.14,669,fol.19",,,,,
"Add. 14,669, fol. 25",1,22,22,XXXV,7c,,,"Add.14,669,fol.25","Add.14,669,fol.22",,,,,
"Add. 14,669, fol. 26",1,69,69,CVIII,12c,,,"Add.14,669,fol.26","Add.14,669,fol.25",,,,,
"Add. 14,669, fol. 37",1,72,72,CXIII,6c,,,"Add.14,669,fol.37","Add.14,669,fol.26",,,,,
"Add. 14,669, foll. 1-18",2,483,483,DCVIII,5c-6c,,,"Add.14,669,foll.1-18","Add.14,669,fol.37",,,,,
"Add. 14,669, foll. 20,21",1,204,204,CCLV,6c,,,"Add.14,669,foll.20,21","Add.14,669,foll.1-18",,,,,
"Add. 14,669, foll. 22",1,1,1,XV,10c,,,"Add.14,669,foll.22","Add.14,669,foll.20and21",,,,,
"Add. 14,669, foll. 23,24",1,1,1,XIII,6c,,,"Add.14,669,foll.23,24","Add.14,669,foll.23,24",,,,,
"Add. 14,669, foll. 27,28",1,69,69,CIV,7c,,,"Add.14,669,foll.27,28","Add.14,669,foll.27and28",,,,,
"Add. 14,669, foll. 29-33",1,68,69,CIII,6c-7c,,,"Add.14,669,foll.29-33","Add.14,669,foll.29-33",,,,,
"Add. 14,669, foll. 34-36",1,67,67,XCIX,6c,,,"Add.14,669,foll.34-36","Add.14,669,foll.34-36",,,,,
"Add. 14,669, foll. 38-56",1,58,58,LXXXII,9c,,,"Add.14,669,foll.38-56","Add.14,669,foll.38-66",Here,,,,
"Add. 14,669, foll. 57-59",1,9,9,CXL,6c-7c,,,"Add.14,669,foll.57-59","Add.14,669,foll.67-59",Here,,,,
"Add. 14,670, fol. 1",2,48,48,DXCIX,6c-7c,,,"Add.14,670,fol.1","Add.14,670,fol.1",,,,,
"Add. 14,670, fol. 14",2,464,464,DLXXVIII,6c,,,"Add.14,670,fol.14","Add.14,670,fol.14",,,,,
"Add. 14,670, fol. 38",2,512,512,DCXLIX,7c,,,"Add.14,670,fol.38","Add.14,670,fol.38",,,,,
"Add. 14,670, fol. 39",2,512,512,DCXLVII,7c,,,"Add.14,670,fol.39","Add.14,670,fol.39",,,,,
"Add. 14,670, foll. 15-18",3,1164,1164,DCCCCXCII,7c,,,"Add.14,670,foll.15-18","Add.14,670,foll.15-18",,,,,
"Add. 14,670, foll. 19-22",2,690,691,DCCL,6c-7c,,,"Add.14,670,foll.19-22","Add.14,670,foll.19-22",,,,,
"Add. 14,670, foll. 23-25",3,1153,1153,DCCCCLXXXIV,6c-7c,,,"Add.14,670,foll.23-25","Add.14,670,foll.23-25",,,,,
"Add. 14,670, foll. 26-29",2,51,51,DCXLIII,6c-7c,,,"Add.14,670,foll.26-29","Add.14,670,foll.26-29",,,,,
"Add. 14,670, foll. 2-7",2,588,589,DCCII,9c,,,"Add.14,670,foll.2-7","Add.14,670,foll.2-7",,,,,
"Add. 14,670, foll. 30-35",2,51,51,DCXLII,6c-7c,,,"Add.14,670,foll.30-35","Add.14,670,foll.30-35",,,,,
"Add. 14,670, foll. 36,37",2,511,511,DCXLIV,6c-7c,,,"Add.14,670,foll.36,37","Add.14,670,foll.36,37",,,,,
"Add. 14,670, foll. 8-13",2,464,464,DLXXIX,9c,,,"Add.14,670,foll.8-13","Add.14,670,foll.8-13",,,,,
"Add. 14,671 ",1,3,3,II,13c,,,"Add.14,671","Add.14,671",,,,,
"Add. 14,672 ",1,136,136,CXCIII,13c-14c,,,"Add.14,672","Add.14,672",,,,,
"Add. 14,673 ",1,132,132,CLXXXVIII,13c,,,"Add.14,673","Add.14,673",,,,,
"Add. 14,674, foll. 1-78",1,127,128,CLXXX,12c,,,"Add.14,674,foll.1-78","Add.14,674,foll.1-78",,,,,
"Add. 14,674, foll. 79-126",1,128,128,CLXXXI,12c,,,"Add.14,674,foll.79-126","Add.14,674,foll.79-126",,,,,
"Add. 14,675 ",1,129,131,CLXXXVI,13c,,,"Add.14,675","Add.14,676",,,,,
"Add. 14,676, foll. 1-42",1,128,128,CLXXXII,12c,,,"Add.14,676,foll.1-42","Add.14,676,foll.1-42",,,,,
"Add. 14,676, foll. 43-86",3,1074,1074,DCCCCXXVI,13c,,,"Add.14,676,foll.43-86","Add.14,676,foll.43-86",,,,,
"Add. 14,677 ",1,131,132,CLXXXVII,13c,,,"Add.14,677","Add.14,677",,,,,
"Add. 14,678 ",1,132,133,CLXXXIX,1237,,,"Add.14,678","Add.14,678",,,,,
"Add. 14,679 ",2,606,606,DCCX,1102,,,"Add.14,679","Add.14,679",,,,,
"Add. 14,680 ",1,77,78,CXXII,12c-13c,,,"Add.14,680","Add.14,680",,,,,
"Add. 14,681 ",1,78,79,CXXIII,12c-13c,,,"Add.14,681","Add.14,681",,,,,
"Add. 14,682 ",2,608,610,DCCXIII,10c,,,"Add.14,682","Add.14,682",,,,,
"Add. 14,683 ",2,610,612,DCCXIV,10c,,,"Add.14,683","Add.14,683",,"Add.14,683",,,
"Add. 14,684, foll. 1-36",1,113,113,CLXVI,12c,,,"Add.14,684,foll.1-36","Add.14,684,foll.1-36",,,,,
"Add. 14,684, foll. 37-117",1,113,115,CLXVII,12c-13c,,,"Add.14,684,foll.37-117","Add.14,684,foll.37-117",,,,,
"Add. 14,685 ",3,1062,1064,DCCCCXXI,10c-11c,,,"Add.14,685","Add.14,685",,,,,
"Add. 14,686 ",1,169,172,CCXXVIII,1255,,,"Add.14,686","Add.14,686",,,,,
"Add. 14,687 ",1,172,173,CCXXIX,1256,,,"Add.14,687","Add.14,687",,,,,
"Add. 14,688 ",1,188,190,CCXLVII,12c-13c,,,"Add.14,688","Add.14,688",,,,,
"Add. 14,689 ",1,167,169,CCXXVII,1221,,,"Add.14,689","Add.14,689",,,,,
"Add. 14,690 ",1,205,207,CCLXI,1182,,,"Add.14,690","Add.14,690",,,,,
"Add. 14,691, foll. 110-114",1,95,95,CL,13c,,,"Add.14,691,foll.110-114","Add.14,691,foll.110-114",,,,,
"Add. 14,691, foll. 1-109",1,208,209,CCLXIV,1230,,,"Add.14,691,foll.1-109","Add.14,691,foll.1-109",,,,,
"Add. 14,692, foll. 1-24",1,390,391,DXI,15c,,,"Add.14,692,foll.1-24","Add.14,692,foll.1-24",,,,,
"Add. 14,692, foll. 25-99",1,211,212,CCLXXIII,1347,,,"Add.14,692,foll.25-99",,Here,,,,
"Add. 14,693, foll. 1-141",1,210,211,CCLXXII,13c-14c,,,"Add.14,693,foll.1-141","Add.14,693,foll.1-141",,,,,
"Add. 14,693, foll. 142-184",1,212,212,CCLXXIV,14c,,,"Add.14,693,foll.142-184",,Here,,,,
"Add. 14,694, foll. 1-43",1,209,209,CCLXVI,13c,,,"Add.14,694,foll.1-43","Add.14,694,folL1-43",,,,,
"Add. 14,694, foll. 44-106",1,209,210,CCLXVII,13c,,,"Add.14,694,foll.44-106",,Here,,,,
"Add. 14,695 ",1,285,286,CCCXLI,11c-12c,,,"Add.14,695","Add.14,695",,,,,
"Add. 14,696 ",1,289,290,CCCXLIV,13c,,,"Add.14,696","Add.14,696",,,,,
"Add. 14,697 ",1,286,288,CCCXLII,12c,(late),,"Add.14,697","Add.14,697",,,,,
"Add. 14,698 ",1,288,289,CCCXLIII,12c-13c,,,"Add.14,698","Add.14,698",,,,,
"Add. 14,699 ",1,304,306,CCCLXXIV,1292,,,"Add.14,699","Add.14,699",,,,,
"Add. 14,700 ",1,306,306,CCCLXXV,1292,,,"Add.14,700","Add.14,700",,,,,
"Add. 14,701 ",1,278,279,CCCXXXV,1263,,,"Add.14,701","Add.14,701",,,,,
"Add. 14,702 ",1,309,310,CCCLXXXV,15c/1489,,,"Add.14,702","Add.14,702",,,,,
"Add. 14,703 ",1,370,371,CCCCLXVII,12c-13c,,,"Add.14,703","Add.14,703",,,,,
"Add. 14,704 ",1,312,313,CCCXCIII,13c,,,"Add.14,704","Add.14,704",,,,,
"Add. 14,705 ",1,181,182,CCXLV,11c,,,"Add.14,705","Add.14,706",Here,,,,
"Add. 14,706 ",1,396,397,DXX,13c,,,"Add.14,706","Add.14,706",,,,,
"Add. 14,707 ",1,277,278,CCCXXXIV,13c,(early),,"Add.14,707","Add.14,707",,,,,
"Add. 14,708, foll. 122-161",1,309,309,CCCLXXXIV,14c,,,"Add.14,708,foll.122-161","Add.14,708,foll.122-161",,,,,
"Add. 14,708, foll. 1-51",1,310,311,CCCLXXXVI,15c,(late),,"Add.14,708,foll.1-51",,Here,,,,
"Add. 14,708, foll. 52-121",1,308,309,CCCLXXXIII,14c,,,"Add.14,708,foll.52-121","Add.14,708,foll.52-121",,,,,
"Add. 14,709, foll. 1-71",1,303,303,CCCLXXI,1336,,,"Add.14,709,foll.1-71","Add.14,709,foD.72-74",,,,,
"Add. 14,709, foll. 72-74",1,306,306,CCCLXXVII,1336,,,"Add.14,709,foll.72-74","Add.14,709,foll.1-71",,,,,
"Add. 14,709, foll. 75-94",1,175,176,CCXXXVI,1484,,,"Add.14,709,foll.75-94","Add.14,709,foll.75-94",,,,,
"Add. 14,710 ",1,325,325,CCCCXV,1259,,,"Add.14,710","Add.14,710",,,,,
"Add. 14,711 ",1,320,321,CCCCIX,1222,,,"Add.14,711","Add.14,711",,,,,
"Add. 14,712 ",1,291,292,CCCXLVI,13c,,,"Add.14,712","Add.14,712",#REF!,,,,
"Add. 14,713 ",1,351,352,CCCCXXXVII,12c-13c,,,"Add.14,713","Add.14,713",,,,,
"Add. 14,714 ",1,346,347,CCCCXXX,1075,,,"Add.14,714","Add.14,714",,,,,
"Add. 14,715, foll. 1-152",1,379,380,CCCCLXXXVII,1257,,,"Add.14,715,foll.1-152","Add.14,715,foll.1-162",Here,,,,
"Add. 14,715, foll. 153-216",1,233,234,CCC,13c,,,"Add.14,715,foll.153-216","Add.14,715,foll.153-216",,,,,
"Add. 14,715, foll. 217-241",1,311,312,CCCLXXXIX,13c,,,"Add.14,715,foll.217-241","Add.14,715,foll.217-241",,,,,
"Add. 14,716, foll. 1-78",1,328,329,CCCCXX,13c,,,"Add.14,716,foll.1-78","Add.14,716,foll.1-78",,,,,
"Add. 14,716, foll. 79-166",1,374,375,CCCCLXX,13c,,,"Add.14,716,foll.79-166","Add.14,716,foll.79-166",,,,,
"Add. 14,717, foll. 103-130",1,307,307,CCCLXXIX,13c-14c,,,"Add.14,717,foll.103-130","Add.14,717,foll.103-180",Here,,,,
"Add. 14,717, foll. 1-58",1,395,396,DXVIII,13c,,,"Add.14,717,foll.1-58","Add.14,717,foll.1-58",,,,,
"Add. 14,717, foll. 59-102",1,311,311,CCCLXXXVII,13c,,,"Add.14,717,foll.59-102","Add.14,717,foll.59-102",,,,,
"Add. 14,718 ",1,298,299,CCCLXIII,13c,,,"Add.14,718","Add.14,718",,,,,
"Add. 14,719 ",1,275,276,CCCXXX,1184,,,"Add.14,719","Add.14,719",,,,,
"Add. 14,720, foll. 1-111",1,313,313,CCCXCIV,13c,,,"Add.14,720,foll.1-111","Add.14,720,foll.1-111",,,,,
"Add. 14,720, foll. 112-135",1,381,382,CCCCXCII,14c,,,"Add.14,720,foll.112-135","Add.14,720,foll.112-136",Here,,,,
"Add. 14,721 ",1,376,377,CCCCLXXII,13c,,,"Add.14,721","Add.14,721",,,,,
"Add. 14,722, foll. 1-61",2,1023,1024,DCCCLXXX,13c,,,"Add.14,722,foll.1-61","Add.14,722,foll.1-61",,,,,
"Add. 14,722, foll. 62-77",1,377,377,CCCCLXXIX,14c,,,"Add.14,722,foll.62-77","Add.14,722,foll.62-77",,,,,
"Add. 14,723, foll. 1,2",1,377,377,CCCCLXXIII,13c,,,"Add.14,723,foll.1,2","Add.14,723,foll.3-65",,,,,
"Add. 14,723, foll. 3-65",1,358,358,CCCCXLVIII,13c,,,"Add.14,723,foll.3-65","Add.14,723,foll.66-113",,,,,
"Add. 14,723, foll. 66-113",1,144,145,CCXVII,13c,,,"Add.14,723,foll.66-113","Add.14,723,foll1,2",,,,,
"Add. 14,724, foll. 1-113",1,375,376,CCCCLXXI,13c,,,"Add.14,724,foll.1-113","Add.14,724,foll.1-113",,,,,
"Add. 14,724, foll. 114-144",1,380,381,CCCCLXXXVIII,13c,,,"Add.14,724,foll.114-144","Add.14,724,foll.114-144",,,,,
"Add. 14,725, fol. 99",1,399,399,DXXVI,10c-11c,,,"Add.14,725,fol.99","Add.14,725,foll.100-215",,,,,
"Add. 14,725, foll. 100-215",2,441,443,DLXIII,10c-11c,,,"Add.14,725,foll.100-215","Add.14,725,foll.1-95",,,,,
"Add. 14,725, foll. 1-95",2,827,828,DCCCXIV,10c,,,"Add.14,725,foll.1-95","Add.14,725,foll.96-98",,,,,
"Add. 14,725, foll. 96-98",1,399,399,DXXV,10c-11c,,,"Add.14,725,foll.96-98","Add.14,726,foL99",,,,,
"Add. 14,726, foll. 1-86",2,828,831,DCCCXV,10c,,,"Add.14,726,foll.1-86","Add.14,726,foll.1-86",,,,,
"Add. 14,726, foll. 87-128",2,617,618,DCCXVIII,10c,,,"Add.14,726,foll.87-128","Add.14,726,foll.87-128",,,,,
"Add. 14,727 ",2,886,890,DCCCXLVIII,13c,,,"Add.14,727","Add.14,727",,,,,
"Add. 14,728, foll. 138-207",2,883,884,DCCCXLIII,13c,,,"Add.14,728,foll.138-207","Add.14,728,foll.138-207",,,,,
"Add. 14,728, foll. 1-75",2,882,883,DCCCXLII,13c,,,"Add.14,728,foll.1-75","Add.14,728,foll.1-75",,,,,
"Add. 14,728, foll. 208-238",2,581,581,DCXCVI,12c-13c,,,"Add.14,728,foll.208-238","Add.14,728,foll.208-238",,,,,
"Add. 14,728, foll. 239-268",2,581,584,DCXCVII,12c-13c,,,"Add.14,728,foll.239-268","Add.14,728,foll.239-268",,,,,
"Add. 14,728, foll. 76-137",2,876,876,DCCCXL,12c-13c,,,"Add.14,728,foll.76-137","Add.14,728,foll.76-137",,,,,
"Add. 14,729, foll. 1-115",2,860,865,DCCCXXXII,1172-3,,,"Add.14,729,foll.1-115","Add.14,729,fdL198-198",Here,,,,
"Add. 14,729, foll. 116-123",2,873,874,DCCCXXXVIII,12c-13c,,,"Add.14,729,foll.116-123","Add.14,729,foll.1-115",,,,,
"Add. 14,729, foll. 124-192",2,874,876,DCCCXXXIX,12c-13c,,,"Add.14,729,foll.124-192","Add.14,729,foll.116-123",,,,,
"Add. 14,729, foll. 193-198",1,389,390,DIX,13c,,,"Add.14,729,foll.193-198","Add.14,729,foll.124-192",,,,,
"Add. 14,729, foll. 199-234",2,584,585,DCXCVIII,12c-13c,,,"Add.14,729,foll.199-234","Add.14,729,foll.199-234",,,,,
"Add. 14,730, foll. 1-111",2,865,866,DCCCXXXIV,12c,,,"Add.14,730,foll.1-111","Add.14,730,foll.1-111",,,,,
"Add. 14,730, foll. 112-164",3,1122,1123,DCCCCLIX,12c,,,"Add.14,730,foll.112-164","Add.14,730,foll.112-164",,,,,
"Add. 14,731 ",2,853,855,DCCCXXVII,11c,,,"Add.14,731","Add.14,731",,,,,
"Add. 14,732, fol. 228",2,517,517,DCLXVIII,12c-13c,,,"Add.14,732,fol.228","Add.14,732,fol.228",,,,,
"Add. 14,732, foll. 1-227",3,1141,1146,DCCCCLXIII,13c,,,"Add.14,732,foll.1-227","Add.14,732,foll.1-227",,,,,
"Add. 14,732, foll. 229-237",2,867,867,DCCCXXXVI,12c,,,"Add.14,732,foll.229-237","Add.14,732,foll.229-237",,,,,
"Add. 14,733 ",3,1139,1140,DCCCCLXI,1199,,,"Add.14,733","Add.14,733",,,,,
"Add. 14,734, foll. 1-176",3,1147,1148,DCCCCLXVII,1085,,,"Add.14,734,foll.1-176","Add.14,734,foll.1-176",,,,,
"Add. 14,734, foll. 177-223",3,1119,1119,DCCCCLVI,11c,,,"Add.14,734,foll.177-223","Add.14,734,foll.177-223",,,,,
"Add. 14,735, foll. 1-23",3,1151,1151,DCCCCLXXIX,13c,,,"Add.14,735,foll.1-23","Add.14,735,foll.1-23",,,,,
"Add. 14,735, foll. 24-50",3,1149,1149,DCCCCLXXI,13c,,,"Add.14,735,foll.24-50","Add.14,735,foll.24-60",Here,,,,
"Add. 14,735, foll. 51-71",3,1148,1148,DCCCCLXIX,12c-13c,,,"Add.14,735,foll.51-71","Add.14,735,foll.51-71",,,,,
"Add. 14,735, foll. 72-173",3,1120,1122,DCCCCLVIII,12c,,,"Add.14,735,foll.72-173","Add.14,736,foll.72-173",Here,,,,
"Add. 14,736, fol. 12",3,1153,1153,DCCCCLXXXV,14c,,,"Add.14,736,fol.12","Add.14,736,fol.12",,,,,
"Add. 14,736, fol. 3",2,1026,1026,DCCCCIV,13c,,,"Add.14,736,fol.3","Add.14,736,fol.3",,,,,
"Add. 14,736, fol. 33",1,21,21,CCLXVIII,13c,,,"Add.14,736,fol.33",,Here,,,,
"Add. 14,736, fol. 34",1,21,21,CCLXIX,13c,,,"Add.14,736,fol.34",,Here,,,,
"Add. 14,736, fol. 48",1,396,396,DXIX,13c,,,"Add.14,736,fol.48","Add.14,736,fol.48",,,,,
"Add. 14,736, fol. 58",1,378,378,CCCCLXXXIII,15c,,,"Add.14,736,fol.58","Add.14,736,fol.60",,,,,
"Add. 14,736, fol. 59",1,378,378,CCCCLXXXIV,15c,,,"Add.14,736,fol.59","Add.14,736,fol.66",,,,,
"Add. 14,736, fol. 60",1,391,391,DXII,15c,,,"Add.14,736,fol.60","Add.14,736,foL58",,,,,
"Add. 14,736, fol. 66",1,316,316,CCCCII,16c,,,"Add.14,736,fol.66","Add.14,736,foL59",,,,,
"Add. 14,736, foll. 1,2",2,591,591,DCCV,13c-14c,,,"Add.14,736,foll.1,2","Add.14,736,foll.1,2",,,,,
"Add. 14,736, foll. 10,11",2,517,517,DCLXIX,12c-13c,,,"Add.14,736,foll.10,11","Add.14,736,foll.10,11",,,,,
"Add. 14,736, foll. 13-21",1,174,174,CCXXXI,13c,,,"Add.14,736,foll.13-21","Add.14,736,foll.13-21",,,,,
"Add. 14,736, foll. 22-32",2,1022,1022,DCCCLXXVIII,13c,,,"Add.14,736,foll.22-32","Add.14,736,foll.22-32",,,,,
"Add. 14,736, foll. 35-47",1,303,303,CCCLXX,12c-13c,,,"Add.14,736,foll.35-47","Add.14,736,foll.35-47",,,,,
"Add. 14,736, foll. 4-9",2,416,416,DXLV,13c,,,"Add.14,736,foll.4-9","Add.14736,foll.4-9",,,,,
"Add. 14,736, foll. 49-52",1,39,39,DX,1483,,,"Add.14,736,foll.49-52","Add.14,736,foll.49-62",Here,,,,
"Add. 14,736, foll. 53-55",1,296,296,CCCLVII,13c,,,"Add.14,736,foll.53-55","Add.14,736,foll.53-55",,,,,
"Add. 14,736, foll. 56,57",1,378,378,CCCCLXXXII,15c,,,"Add.14,736,foll.56,57","Add.14,736,foll.61-63",,,,,
"Add. 14,736, foll. 61-63",1,301,301,CCCLXV,15c,,,"Add.14,736,foll.61-63","Add.14,736,foll.64,66",,,,,
"Add. 14,736, foll. 64,65",1,315,316,CCCXCIX,1492,,,"Add.14,736,foll.64,65","Add.14,736,foll.66,67",Here,,,,
"Add. 14,737, fol. 50",1,212,212,CCLXXVII,14c,,,"Add.14,737,fol.50",,Here,,,,
"Add. 14,737, fol. 92",2,517,517,DCLXX,13c-14c,,,"Add.14,737,fol.92","Add.14,737,fol.92",Here,,,,
"Add. 14,737, fol. 98",3,1199,1199,MXXXI,1332,,,"Add.14,737,fol.98","Add.14,737,fol.98",Here,,,,
"Add. 14,737, fol. 99",3,1199,1200,MXXXIII,1493,,,"Add.14,737,fol.99","Add.14,737,fol.99",Here,,,,
"Add. 14,737, foll. 1-10",1,175,175,CCXXXV,15c,,,"Add.14,737,foll.1-10","Add.14,737,foll.11-17",Here,,,,
"Add. 14,737, foll. 11-17",1,175,175,CCXXXIV,14c,,,"Add.14,737,foll.11-17","Add.14,737,foll.51and52",Here,,,,
"Add. 14,737, foll. 18-34",1,21,21,CCLXX,13c,,,"Add.14,737,foll.18-34","Add.14,737,foll.59-64",Here,,,,
"Add. 14,737, foll. 35-49",1,212,212,CCLXXVI,14c,,,"Add.14,737,foll.35-49","Add.14,737,foll.63and64",Here,,,,
"Add. 14,737, foll. 51,52",1,207,207,CCLXII,12c-13c,,,"Add.14,737,foll.51,52","Add.14,737,foll.65-58",Here,,,,
"Add. 14,737, foll. 53,54",1,213,213,CCLXXX,15c,,,"Add.14,737,foll.53,54","Add.14,737,foll.65-70",Here,,,,
"Add. 14,737, foll. 55-58",1,314,314,CCCXCVIII,13c-14c,,,"Add.14,737,foll.55-58","Add.14,737,foll.71,72",Here,,,,
"Add. 14,737, foll. 59-64",1,377,377,CCCCLXXIV,13c,,,"Add.14,737,foll.59-64","Add.14,737,foll.85,86",Here,,,,
"Add. 14,737, foll. 65-70",1,297,297,CCCLIX,12c-13c,,,"Add.14,737,foll.65-70","Add.14,737,foll.87-91",Here,,,,
"Add. 14,737, foll. 71,72",1,276,276,CCCXXXI,12c,,,"Add.14,737,foll.71,72","Add.14,737,fon.73-76",Here,,,,
"Add. 14,737, foll. 73-76",1,377,377,CCCCLXXV,13c,,,"Add.14,737,foll.73-76",,Here,,,,
"Add. 14,737, foll. 77-84",1,274,275,CCCXXIX,1175,,,"Add.14,737,foll.77-84",,Here,,,,
"Add. 14,737, foll. 85,86",3,1146,1146,DCCCCLXV,13c,,,"Add.14,737,foll.85,86",,Here,,,,
"Add. 14,737, foll. 87-91",2,1026,1026,DCCCCIII,13c,,,"Add.14,737,foll.87-91",,Here,,,,
"Add. 14,738, fol. 1",1,7,7,VIII,14c,,,"Add.14,738,fol.1","Add.14,738,fol.1",Here,,,,
"Add. 14,738, fol. 10",1,174,174,CCXXXII,13c,,,"Add.14,738,fol.10","Add.14,738,fol.106",Here,,,,
"Add. 14,738, fol. 105",3,1153,1153,DCCCCLXXXVI,13c,,,"Add.14,738,fol.105","Add.14,738,fol.116",Here,,,,
"Add. 14,738, fol. 116",2,1026,1026,DCCCCI,12c,,,"Add.14,738,fol.116","Add.14,738,fol.119",Here,,,,
"Add. 14,738, fol. 119",2,1026,1026,DCCCXCIX,11c-12c,,,"Add.14,738,fol.119","Add.14,738,fol.120",Here,,,,
"Add. 14,738, fol. 120",3,1199,1199,MXXXII,1413,,,"Add.14,738,fol.120","Add.14,738,fol.84",Here,,,,
"Add. 14,738, fol. 84",1,377,377,CCCCLXXVIII,13c-14c,,,"Add.14,738,fol.84","Add.14,738,foL10",Here,,,,
"Add. 14,738, foll. 106,107",3,1149,1149,DCCCCLXX,12c-13c,,,"Add.14,738,foll.106,107","Add.14,738,foll.106,107",Here,,,,
"Add. 14,738, foll. 108,109",2,1026,1026,DCCCCII,12c-13c,,,"Add.14,738,foll.108,109","Add.14,738,foll.108,109",Here,,,,
