Shelfmark ,Catalogue volume,Catalog pp. (begin),Catalog pp. (end),Wright’s Numeration ,Wright’s Dating,,Wright Numeration OCR,Shelfmark,ShelfmarkOCR,,,,,MS to fix
"Add. 14,738, foll. 110-113",2,1026,1026,DCCCC,12c,,,"Add.14,738,foll.110-113","Add.14,738,foll.110-113",Here,,,,
"Add. 14,738, foll. 11-22",1,212,212,CCLXXV,14c,,,"Add.14,738,foll.11-22","Add.14,738,foll.114,115",Here,,,,
"Add. 14,738, foll. 114,115",3,1164,1164,DCCCCXCI,11c,,,"Add.14,738,foll.114,115","Add.14,738,foll.117,118",Here,,,,
"Add. 14,738, foll. 117,118",2,516,516,DCLXV,11c,,,"Add.14,738,foll.117,118","Add.14,738,foll.35and36",Here,,,,
"Add. 14,738, foll. 23-34",1,21,21,CCLXXI,13c,,,"Add.14,738,foll.23-34","Add.14,738,foll.37-60",Here,,,,
"Add. 14,738, foll. 2-5",1,136,136,CXCII,13c,,,"Add.14,738,foll.2-5","Add.14,738,foll.61-63",Here,,,,
"Add. 14,738, foll. 35,36",1,213,213,CCLXXIX,14c,,,"Add.14,738,foll.35,36","Add.14,738,foll.64-76",Here,,,,
"Add. 14,738, foll. 37-60",1,279,279,CCCXXXVI,13c,,,"Add.14,738,foll.37-60","Add.14,738,foll.6and7",Here,,,,
"Add. 14,738, foll. 6,7",1,83,83,CXXX,13c,,,"Add.14,738,foll.6,7","Add.14,738,foll.79-81",Here,,,,
"Add. 14,738, foll. 61-63",1,377,377,CCCCLXXVI,13c,,,"Add.14,738,foll.61-63","Add.14,738,foll.82,83",Here,,,,
"Add. 14,738, foll. 64-76",1,381,381,CCCCXC,13c-14c,,,"Add.14,738,foll.64-76","Add.14,738,foll.8and9",Here,,,,
"Add. 14,738, foll. 77,78",1,316,316,CCCCV,13c,,,"Add.14,738,foll.77,78","Add.14,738,foll.90-104",Here,,,,
"Add. 14,738, foll. 79-81",1,377,377,CCCCLXXVII,13c,,,"Add.14,738,foll.79-81","Add.14,738,folL28-54",Here,,,,
"Add. 14,738, foll. 8,9",1,95,96,CLII,13c-14c,,,"Add.14,738,foll.8,9","Add.14,738,folL77,78",Here,,,,
"Add. 14,738, foll. 82,83",1,377,377,CCCCLXXX,14c,,,"Add.14,738,foll.82,83",,Here,,,,
"Add. 14,738, foll. 85-89",2,89,89,DCCCXLIX,13c-14c,,,"Add.14,738,foll.85-89","Add.14,738,foll.85-89",,,,,
"Add. 14,738, foll. 90-104",3,115,115,DCCCCLXXV,13c,,,"Add.14,738,foll.90-104",,Here,,,,
"Add. 14,739, fol. 23",1,316,316,CCCC,1483,,,"Add.14,739,fol.23","Add.14,739,fol.23",,,,,
"Add. 14,739, fol. 24",3,1198,1199,MXXIX,13c,,,"Add.14,739,fol.24","Add.14,739,fol.24",,,,,
"Add. 14,739, foll. 12-14",2,516,516,DCLXIII,12c,,,"Add.14,739,foll.12-14","Add.14,739,foll.12-14",,,,,
"Add. 14,739, foll. 15-18",1,28,28,CCCXXXVII,13c,,,"Add.14,739,foll.15-18","Add.14,739,foll.15-18",,,,,
"Add. 14,739, foll. 1-6",2,866,867,DCCCXXXV,12c,,,"Add.14,739,foll.1-6","Add.14,739,foll.1-6",,,,,
"Add. 14,739, foll. 19-22",1,178,178,CCXLII,13c-14c,,,"Add.14,739,foll.19-22","Add.14,739,foll.19-22",,,,,
"Add. 14,739, foll. 7-11",2,516,517,DCLXVI,11c-12c,,,"Add.14,739,foll.7-11","Add.14,739,foll.7-11",,,,,
"Add. 15,443 ",1,139,141,CCIII,1826,,,"Add.15,443","Add.15,443",,,,,
"Add. 17,102 ",1,11,12,XVII,599,,,"Add.17,102","Add.17,102",,,,,
"Add. 17,103 ",1,32,33,LII,8c,,,"Add.17,103","Add.17,103",,,,,
"Add. 17,104 ",1,16,17,XXV,6c,,,"Add.17,104","Add.17,104",,,,,
"Add. 17,105 ",1,22,23,XXXVI,6c,,,"Add.17,105","Add.17,105",,,,,
"Add. 17,106, foll. 1-73",1,23,23,XXXVII,6c-7c,,,"Add.17,106,foll.1-73","Add.17,106,foll.1-73",,,,,
"Add. 17,106, foll. 74-87",1,28,28,XLVII,7c,,,"Add.17,106,foll.74-87","Add.17,106,foll.74-87",,,,,
"Add. 17,107 ",1,23,24,XXXVIII,541,,,"Add.17,107","Add.17,107",,,,,
"Add. 17,108 ",1,18,18,XXIX,6c,,,"Add.17,108","Add.17,108",,,,,
"Add. 17,109 ",1,120,122,CLXX,873-874,,,"Add.17,109","Add.17,109",,,,,
"Add. 17,110 ",1,116,119,CLXVIII,600,(at latest),,"Add.17,110","Add.17,110",,,,,
"Add. 17,111 ",1,125,126,CLXXVI,927,,,"Add.17,111","Add.17,111",,,,,
"Add. 17,112 ",1,127,127,CLXXIX,10c-11c,,,"Add.17,112","Add.17,112",,,,,
"Add. 17,113 ",1,48,49,LXXII,6c-7c,,,"Add.17,113","Add.17,113",,,,,
"Add. 17,114 ",1,45,46,LXVIII,6c-7c,,,"Add.17,114","Add.17,114",,,,,
"Add. 17,115 ",1,66,66,XCVI,6c,,,"Add.17,115","Add.17,115",,,,,
"Add. 17,116 ",1,65,65,XCIII,6c,,,"Add.17,116","Add.17,116",,,,,
"Add. 17,117 ",1,64,64,XCI,5c-6c,(early),,"Add.17,117","Add.17,117",,,,,
"Add. 17,118 ",1,57,58,LXXXI,8c-9c,,,"Add.17,118","Add.17,118",,,,,
"Add. 17,119 ",1,71,72,CXII,6c-7c,,,"Add.17,119","Add.17,119",,,,,
"Add. 17,120 ",1,8,8,CXXVI,6c,,,"Add.17,120","Add.17,120",,,,,
"Add. 17,121 ",1,80,81,CXXVII,6c,,,"Add.17,121","Add.17,121",,,,,
"Add. 17,122 ",1,87,88,CXXXVII,6c,,,"Add.17,122","Add.17,122",,,,,
"Add. 17,123 ",1,93,93,CXLV,9c-10c,,,"Add.17,123","Add.17,123",,,,,
"Add. 17,124 ",1,42,44,LXV,1234,,,"Add.17,124","Add.17,124",,,,,
"Add. 17,125 ",1,123,125,CLXXV,9c-10c,,,"Add.17,125","Add.17,126",Here,,,,
"Add. 17,126 ",2,526,526,DCLXXIV,511,,,"Add.17,126","Add.17,126",,,,,
"Add. 17,127 ",2,1020,1021,DCCCLXXV,1088,,,"Add.17,127","Add.17,127",,,,,
"Add. 17,128 ",1,226,227,CCXC,10c-11c,,,"Add.17,128","Add.17,128",,,,,
"Add. 17,129 ",1,383,383,CCCCXCIV,7c-8c,,,"Add.17,129","Add.17,129",,,,,
"Add. 17,130 ",1,392,393,DXIII,877,,,"Add.17,130","Add.17,130",,,,,
"Add. 17,131 ",1,395,395,DXVI,12c,,,"Add.17,131","Add.17,131",,,,,
"Add. 17,132 ",1,371,371,CCCCLXVIII,12c-13c,,,"Add.17,132","Add.17,132",,,,,
"Add. 17,133 ",1,324,324,CCCCXII,11c,,,"Add.17,133","Add.17,133",,,,,
"Add. 17,134 ",1,330,339,CCCCXXI,675,,,"Add.17,134","Add.17,134",,,,,
"Add. 17,135 ",1,293,294,CCCL,10c,,,"Add.17,135","Add.17,135",,,,,
"Add. 17,136 ",1,343,345,CCCCXXVII,10c-11c,,,"Add.17,136","Add.17,136",,,,,
"Add. 17,137 ",1,369,370,CCCCLXV,varied,,,"Add.17,137","Add.17,137",,,,,
"Add. 17,138 ",1,295,295,CCCLIV,11c,,,"Add.17,138","Add.17,138",,,,,
"Add. 17,139 ",1,343,343,CCCCXXVI,10c-11c,,,"Add.17,139","Add.17,139",,,,,
"Add. 17,140 ",1,345,346,CCCCXXIX,11c,,,"Add.17,140","Add.17,140",,,,,
"Add. 17,141 ",1,359,363,CCCCL,8c-9c,,,"Add.17,141","Add.17,141",,,,,
"Add. 17,142 ",3,1042,1042,DCCCCXVII,6c,,,"Add.17,142","Add.17,142",,,,,
"Add. 17,143 ",2,416,416,DXLVI,5c,,,"Add.17,143","Add.17,143",,,,,
"Add. 17,144 ",2,652,654,DCCXXXII,6c,,,"Add.17,144","Add.17,144",,,,,
"Add. 17,145 ",2,418,419,DXLVIII,8c-9c,,,"Add.17,145","Add.17,145",,,,,
"Add. 17,146 ",2,437,438,DLX,6c-7c,,,"Add.17,146","Add.17,146",,,,,
"Add. 17,147 ",2,438,440,DLXI,8c-9c,,,"Add.17,147","Add.17,147",,,,,
"Add. 17,148 ",2,717,718,DCCLVI,7c,,,"Add.17,148","Add.17,148",,,,,
"Add. 17,149 ",2,668,669,DCCXXXIX,6c,,,"Add.17,149",,Here,,,,
"Add. 17,150 ",2,492,493,DCXXII,7c-8c,,,"Add.17,150","Add.17,150",,,,,
"Add. 17,151 ",2,490,491,DCXIX,7c,,,"Add.17,151","Add.17,151",,,,,
"Add. 17,152 ",2,477,478,DXCVI,594,,,"Add.17,152","Add.17,152",,,,,
"Add. 17,153 ",2,531,531,DCLXXIX,6c,,,"Add.17,153","Add.17,153",,,,,
"Add. 17,154 ",2,557,558,DCXCI,7c,,,"Add.17,154","Add.17,154",,,,,
"Add. 17,155 ",2,507,508,DCXXXIX,6c-7c,,,"Add.17,155","Add.17,155",,,,,
"Add. 17,156 ",3,1187,1188,MV,8c,,,"Add.17,156",,Here,,,,
"Add. 17,156, foll. 1-12 X",3,1162,1163,DCCCCLXXXI,9c,,,"Add.17,156,foll.1-12X","Add.17,156,foll.1-12",Here,,,,
"Add. 17,156, foll. 16-31",1,302,302,CCCLXVII,10c,,,"Add.17,156,foll.16-31","Add.17,156,foll.16-31",,,,,
"Add. 17,157 ",2,504,505,DCXXXVI,565,,,"Add.17,157","Add.17,157",,,,,
"Add. 17,158, fol. 57",2,416,416,DXLIV,8c,,,"Add.17,158,fol.57","Add.17,158,fol.57",,,,,
"Add. 17,158, foll. 1-48",2,681,683,DCCXLVI,6c-7c,,,"Add.17,158,foll.1-48","Add.17,158,foll.1-48",,,,,
"Add. 17,158, foll. 49-56",2,513,513,DCLI,8c,,,"Add.17,158,foll.49-56","Add.17,158,foll.49-56",,,,,
"Add. 17,159, foll. 1-63",2,511,511,DCXLV,7c,,,"Add.17,159,foll.1-63","Add.17,159,foll.1-63",,,,,
"Add. 17,159, foll. 64-93",2,511,512,DCXLVI,7c,,,"Add.17,159,foll.64-93","Add.17,159,foll.64-93",,,,,
"Add. 17,160, fol. 27",2,1025,1025,DCCCLXXXIX,7c,,,"Add.17,160,fol.27","Add.17,160,fol.27",,,,,
"Add. 17,160, fol. 28",2,1024,1024,DCCCLXXXIII,6c-7c,,,"Add.17,160,fol.28","Add.17,160,fol.28",,,,,
"Add. 17,160, foll. 1-18",2,512,513,DCL,7c,,,"Add.17,160,foll.1-18","Add.17,160,foll.1-18",,,,,
"Add. 17,160, foll. 19-23",2,481,482,DCIV,6c-7c,,,"Add.17,160,foll.19-23","Add.17,160,foll.19-23",,,,,
"Add. 17,160, foll. 24-26",2,1018,1018,DCCCLXIX,8c,,,"Add.17,160,foll.24-26","Add.17,160,foll.24-26",,,,,
"Add. 17,160, foll. 29,30",1,235,236,CCCIII,789,,,"Add.17,160,foll.29,30","Add.17,160,foll.29and30",,,,,
"Add. 17,161 ",2,505,506,DCXXXVII,6c,,,"Add.17,161","Add.17,161",,,,,
"Add. 17,162, foll. 1-14",1,111,112,CLXIV,10c-11c,,,"Add.17,162,foll.1-14","Add.17,162,foll.1-14",,,,,
"Add. 17,162, foll. 15-27",2,513,514,DCLIV,9c,,,"Add.17,162,foll.15-27","Add.17,162,foll.16-27",Here,,,,
"Add. 17,163, foll. 1-48",2,524,526,DCLXXIII,7c,,,"Add.17,163,foll.1-48","Add.17,163,foll.1-48",,,,,
"Add. 17,163, foll. 49-53",2,1018,1018,DCCCLXX,9c,,,"Add.17,163,foll.49-53","Add.17,163,foll.49-53",,,,,
"Add. 17,164 ",2,680,681,DCCXLV,6c-7c,,,"Add.17,164","Add.17,164",,,,,
"Add. 17,165 ",2,654,655,DCCXXXIII,6c,,,"Add.17,165","Add.17,165",,,,,
"Add. 17,166 ",2,658,660,DCCXXXVII,6c,,,"Add.17,166","Add.17,166",,,,,
"Add. 17,167 ",2,676,678,DCCXLIII,6c-7c,,,"Add.17,167","Add.17,167",,,,,
"Add. 17,168, fol. 1-113",2,782,784,DCCXCII,9c,,,"Add.17,168,fol.1-113","Add.17,168,foll.1-113",,,,,
"Add. 17,168, foll. 114-153",2,777,778,DCCLXXXVIII,9c,,,"Add.17,168,foll.114-153","Add.17,168,foll.114-153",,,,,
"Add. 17,168, foll. 154-184",2,8,8,DCCXCIX,9c,,,"Add.17,168,foll.154-184","Add.17,168,foll.154-184",,,,,
"Add. 17,169 ",2,450,454,DLXXII,581,,,"Add.17,169","Add.17,169",,,,,
"Add. 17,170 ",2,454,458,DLXXIII,774-5,,,"Add.17,170","Add.17,170",,,,,
"Add. 17,171, foll. 1-16",2,657,657,DCCXXXV,6c,,,"Add.17,171,foll.1-16","Add.17,171,foll.1-16",,,,,
"Add. 17,171, foll. 17-23",2,513,513,DCLII,8c,,,"Add.17,171,foll.17-23","Add.17,171,foll.17-23",,,,,
"Add. 17,172 ",2,759,762,DCCLXXX,819-830,,,"Add.17,172","Add.17,172",,,,,
"Add. 17,173 ",2,726,729,DCCLXII,7c,,,"Add.17,173","Add.17,173",,,,,
"Add. 17,174 ",3,1074,1076,DCCCCXXVIII,929,,,"Add.17,174","Add.17,174",,,,,
"Add. 17,175 ",3,108,108,DCCCCXXXII,10c,,,"Add.17,175","Add.17,175",,,,,
"Add. 17,176 ",3,1072,1073,DCCCCXXIV,532,,,"Add.17,176","Add.17,176",,,,,
"Add. 17,177 ",3,1073,1074,DCCCCXXV,6c,,,"Add.17,177","Add.17,177",,,,,
"Add. 17,178 ",2,855,857,DCCCXXVIII,11c-12c,,,"Add.17,178","Add.17,178",,,,,
"Add. 17,179 ",2,857,858,DCCCXXIX,11c-12c,,,"Add.17,179","Add.17,179",,,,,
"Add. 17,180 ",2,851,853,DCCCXXVI,11c,,,"Add.17,180","Add.17,180",,,,,
"Add. 17,181 ",2,661,668,DCCXXXVIII,6c,,,"Add.17,181","Add.17,181",,,,,
"Add. 17,182, foll. 100-175",2,404,405,DXXX,512,,,"Add.17,182,foll.100-175","Add.17,182,foll.100-176",Here,,,,
"Add. 17,182, foll. 1-99",2,403,404,DXXIX,474,,,"Add.17,182,foll.1-99","Add.17,182,foll.1-99",,,,,
"Add. 17,183 ",2,819,823,DCCCXII,10c,,,"Add.17,183","Add.17,183",,,,,
"Add. 17,184 ",2,509,510,DCXLI,6c-7c,,,"Add.17,184","Add.17,184",,,,,
"Add. 17,185 ",2,838,840,DCCCXXII,10c-11c,,,"Add.17,185","Add.17,185",,,,,
"Add. 17,186 ",2,420,421,DLI,6c,,,"Add.17,186","Add.17,186",,,,,
"Add. 17,187 ",2,605,605,DCCVIII,10c,,,"Add.17,187","Add.17,187",,,,,
"Add. 17,188 ",2,620,622,DCCXXI,10c-11c,,,"Add.17,188","Add.17,188",,,,,
"Add. 17,189, foll. 1-16",2,407,407,DXXXIV,5c-6c,,,"Add.17,189,foll.1-16",,Here,,,,
"Add. 17,189, foll. 17-21",2,1016,1016,DCCCLXV,6c,,,"Add.17,189,foll.17-21","Add.17,189,foll.17-21",,,,,
"Add. 17,190 ",1,243,244,CCCVII,893,,,"Add.17,190","Add.17,190",,,,,
"Add. 17,191 ",2,1008,1015,DCCCLXIV,9c-10c,,,"Add.17,191","Add.17,191",,,,,
"Add. 17,192 ",2,778,781,DCCLXXXIX,9c,,,"Add.17,192","Add.17,192",,,,,
"Add. 17,193 ",2,989,1002,DCCCLXI,874,,,"Add.17,193","Add.17,193",,,,,
"Add. 17,194 ",2,1002,1003,DCCCLXII,886,,,"Add.17,194","Add.17,194",,,,,
"Add. 17,195 ",2,914,915,DCCCLIV,10c,,,"Add.17,195","Add.17,195",,,,,
"Add. 17,196 ",2,776,777,DCCLXXXVII,6c,,,"Add.17,196","Add.17,196",,,,,
"Add. 17,197, foll. 1-25",2,440,441,DLXII,9c-10c,,,"Add.17,197,foll.1-25","Add.17,197,foll.1-25",,,,,
"Add. 17,197, foll. 26-46",2,606,608,DCCXI,9c-10c,,,"Add.17,197,foll.26-46","Add.17,197,foll.26-46",,,,,
"Add. 17,198 ",2,503,503,DCXXXII,7c,,,"Add.17,198","Add.17,198",,,,,
"Add. 17,199 ",2,612,613,DCCXV,8c,,,"Add.17,199","Add.17,199",,,,,
"Add. 17,200 ",2,554,555,DCLXXXIX,7c,,,"Add.17,200","Add.17,200",,,,,
"Add. 17,201, foll. 1-15",2,69,69,DCCXLIX,6c-7c,,,"Add.17,201,foll.1-15","Add.17,201,foll.1-1.5",Here,,,,
"Add. 17,201, foll. 16-21",2,458,458,DLXXIV,8c,,,"Add.17,201,foll.16-21","Add.17,201,foll.16-21",,,,,
"Add. 17,201, foll. 22-25",3,1149,1149,DCCCCLXXIII,7c-8c,,,"Add.17,201,foll.22-25","Add.17,201,foll.22-25",,,,,
"Add. 17,201, foll. 26-32",2,465,465,DLXXXI,9c-10c,,,"Add.17,201,foll.26-32",,Here,,,,
"Add. 17,202 ",3,1046,1061,DCCCCXIX,6c,(late)-7c(early),,"Add.17,202","Add.17,202",,,,,
"Add. 17,203 ",3,1151,1151,DCCCCLXXX,11c,,,"Add.17,203","Add.17,203",,,,,
"Add. 17,204 ",3,1081,1081,DCCCCXXXIV,5c,,,"Add.17,204","Add.17,204",,,,,
"Add. 17,205 ",3,1087,1087,DCCCCXXXVIII,6c,,,"Add.17,205","Add.17,205",,,,,
"Add. 17,206 ",2,859,860,DCCCXXXI,11c-12c,,,"Add.17,206","Add.17,206",,,,,
"Add. 17,207 ",1,365,366,CCCCLIII,8c-9c,,,"Add.17,207","Add.17,207",,,,,
"Add. 17,208 ",2,613,617,DCCXVII,9c,,,"Add.17,208","Add.17,208",,,,,
"Add. 17,209 ",3,1184,1186,MIII,9c,,,"Add.17,209","Add.17,209",,,,,
"Add. 17,210-211",2,548,550,DCLXXXVII,5c,,,"Add.17,210-211","Add.17,210-211",,,,,
"Add. 17,212 ",2,479,480,DXCVIII,9c-10c,,,"Add.17,212","Add.17,212",,,,,
"Add. 17,213, fol. 13",2,515,515,DCLIX,10c,,,"Add.17,213,fol.13","Add.17,213,fol.13",,,,,
"Add. 17,213, fol. 14",2,515,516,DCLXI,11c,,,"Add.17,213,fol.14","Add.17,213,fol.14",,,,,
"Add. 17,213, fol. 15",2,516,516,DCLXII,11c,,,"Add.17,213,fol.15","Add.17,213,fol.15",,,,,
"Add. 17,213, fol. 18",2,516,516,DCLXIV,10c,,,"Add.17,213,fol.18","Add.17,213,fol.18",,,,,
"Add. 17,213, fol. 19",3,115,115,DCCCCLXXVII,10c-11c,,,"Add.17,213,fol.19","Add.17,213,fol.19",,,,,
"Add. 17,213, fol. 20",1,295,296,CCCLV,1101,,,"Add.17,213,fol.20","Add.17,213,fol.20",,,,,
"Add. 17,213, fol. 3",1,28,28,XLVI,9c,,,"Add.17,213,fol.3","Add.17,213,fol.3",,,,,
"Add. 17,213, fol. 40",1,176,176,CCXXXVIII,13c,,,"Add.17,213,fol.40","Add.17,213,fol.41",,,,,
"Add. 17,213, fol. 41",3,1198,1198,MXXVII,1209,,,"Add.17,213,fol.41","Add.17,213,fol.42",,,,,
"Add. 17,213, fol. 42",3,1197,1197,MXXII,10c,,,"Add.17,213,fol.42","Add.17,213,fol.43",,,,,
"Add. 17,213, fol. 43",3,1194,1194,MX,6c-7c,,,"Add.17,213,fol.43","Add.17,213,foL40",,,,,
"Add. 17,213, foll. 1,2",1,37,37,LVII,9c,,,"Add.17,213,foll.1,2","Add.17,213,foll.11,12",,,,,
"Add. 17,213, foll. 11,12",2,515,515,DCLVII,9c-10c,,,"Add.17,213,foll.11,12","Add.17,213,foll.16,17",,,,,
"Add. 17,213, foll. 16,17",2,515,515,DCLX,10c,,,"Add.17,213,foll.16,17","Add.17,213,foll.1and2",,,,,
"Add. 17,213, foll. 21-39",2,781,781,DCCXC,9c,,,"Add.17,213,foll.21-39","Add.17,213,foll.21-39",,,,,
"Add. 17,213, foll. 4,5",2,401,401,DXXVII,6c,,,"Add.17,213,foll.4,5","Add.17,213,foll.4,5",,,,,
"Add. 17,213, foll. 41,42",1,367,367,CCCCLIX,11c,,,"Add.17,213,foll.41,42","Add.17,213,foll.6,7",Here,,,,
"Add. 17,213, foll. 6,7",2,1025,1025,DCCCXCI,8c-9c,,,"Add.17,213,foll.6,7","Add.17,213,foll.8-10",Here,,,,
"Add. 17,213, foll. 8-10",2,752,752,DCCLXXVI,8c-9c,,,"Add.17,213,foll.8-10",,Here,,,,
"Add. 17,214 ",2,915,917,DCCCLV,7c,,,"Add.17,214","Add.17,214",,,,,
"Add. 17,215, fol. 34",2,503,504,DCXXXIV,8c-9c,,,"Add.17,215,fol.34","Add.17,215,fol.34",,,,,
"Add. 17,215, fol. 48",3,1196,1197,MXVIII,9c-10c,,,"Add.17,215,fol.48","Add.17,215,fol.48",,,,,
"Add. 17,215, fol. 49",3,1198,1198,MXXV,11c,,,"Add.17,215,fol.49","Add.17,215,fol.49",,,,,
"Add. 17,215, fol. 50",3,12,12,MXXXVI,(not,given),,"Add.17,215,fol.50","Add.17,215,fol.50",,,,,
"Add. 17,215, foll. 1-4",2,1018,1019,DCCCLXXII,9c-10c,,,"Add.17,215,foll.1-4","Add.17,215,foll.26,27",Here,,,,
"Add. 17,215, foll. 22-25",1,388,388,DIII,10c-11c,,,"Add.17,215,foll.22-25","Add.17,215,foll.28,29",Here,,,,
"Add. 17,215, foll. 26,27",2,1025,1025,DCCCXCII,8c-9c,,,"Add.17,215,foll.26,27","Add.17,215,foll.30-33",Here,,,,
"Add. 17,215, foll. 28,29",2,493,493,DCXXIII,10c,,,"Add.17,215,foll.28,29","Add.17,215,foll.35-43",Here,,,,
"Add. 17,215, foll. 30-33",2,1016,1016,DCCCLXVI,7c-8c,,,"Add.17,215,foll.30-33","Add.17,215,foll.44,45",Here,,,,
"Add. 17,215, foll. 35-43",2,84,84,DCCCXXIII,10c-11c,,,"Add.17,215,foll.35-43","Add.17,215,foll.5,6",Here,,,,
"Add. 17,215, foll. 44,45",2,1026,1026,DCCCXCVI,9c,,,"Add.17,215,foll.44,45","Add.17,215,foll.7,8",Here,,,,
"Add. 17,215, foll. 46,47",3,1074,1074,DCCCCXXVII,8c,,,"Add.17,215,foll.46,47","Add.17,216,foll.46,47",Here,,,,
"Add. 17,215, foll. 5,6",3,1164,1165,DCCCCXCIII,839,,,"Add.17,215,foll.5,6",,Here,,,,
"Add. 17,215, foll. 7,8",3,1165,1165,DCCCCXCIV,9c,,,"Add.17,215,foll.7,8",,Here,,,,
"Add. 17,215, foll. 9-21",2,81,81,DCCCV,9c-10c,,,"Add.17,215,foll.9-21","Add.17,215,foll.9-21",Here,,,,
"Add. 17,216, fol. 1",3,1041,1041,DCCCCXIV,8c-9c,,,"Add.17,216,fol.1","Add.17,216,foD.2-14",Here,,,,
"Add. 17,216, fol. 43",2,1037,1037,DCCCCX,8c-9c,,,"Add.17,216,fol.43","Add.17,216,fol.1",Here,,,,
"Add. 17,216, fol. 44",3,115,115,DCCCCLXXVI,9c,,,"Add.17,216,fol.44","Add.17,216,fol.43",Here,,,,
"Add. 17,216, fol. 45",3,1147,1147,DCCCCLXVI,9c-10c,,,"Add.17,216,fol.45","Add.17,216,fol.44",Here,,,,
"Add. 17,216, fol. 46",1,367,367,CCCCLXI,11c,,,"Add.17,216,fol.46","Add.17,216,fol.45",Here,,,,
"Add. 17,216, fol. 47",3,1195,1196,MXV,869,,,"Add.17,216,fol.47","Add.17,216,fol.47",Here,,,,
"Add. 17,216, fol. 48",3,1195,1195,MXIV,849,,,"Add.17,216,fol.48","Add.17,216,fol.48",Here,,,,
"Add. 17,216, fol. 49",3,1197,1197,MXX,-932,,,"Add.17,216,fol.49","Add.17,216,fol.49",Here,,,,
"Add. 17,216, fol. 50",3,1194,1194,MXI,10c/6c-7c,,,"Add.17,216,fol.50","Add.17,216,fol.50",Here,,,,
"Add. 17,216, fol. 51",3,1197,1197,MXXI,-932,,,"Add.17,216,fol.51","Add.17,216,fol.51",Here,,,,
"Add. 17,216, foll. 15-25",1,272,272,CCCXXVI,11c,,,"Add.17,216,foll.15-25","Add.17,216,foL46",Here,,,,
"Add. 17,216, foll. 2-14",3,1041,1041,DCCCCXV,8c-9c,,,"Add.17,216,foll.2-14","Add.17,216,foll.15-25",Here,,,,
"Add. 17,216, foll. 26,27",1,302,302,CCCLXVIII,10c,,,"Add.17,216,foll.26,27","Add.17,216,foll.22-26",Here,,,,
"Add. 17,216, foll. 28-31",1,366,366,CCCCLVI,9c,,,"Add.17,216,foll.28-31","Add.17,216,foll.26and27",Here,,,,
"Add. 17,216, foll. 32,33",2,533,534,DCLXXXIV,13c,,,"Add.17,216,foll.32,33","Add.17,216,foll.32,33",Here,,,,
"Add. 17,216, foll. 34-42",1,37,37,CCCCLXVI,12c,,,"Add.17,216,foll.34-42","Add.17,216,foll.34-42",Here,,,,
"Add. 17,216, foll. 52,53",3,1196,1196,MXVII,9c,,,"Add.17,216,foll.52,53","Add.17,216,foll.52,53",Here,,,,
"Add. 17,217, fol. 39",2,488,489,DCXVI,6c-7c,,,"Add.17,217,fol.39","Add.17,217,fd.54",,,,,
"Add. 17,217, fol. 40",2,1024,1024,DCCCLXXXVI,6c-7c,,,"Add.17,217,fol.40","Add.17,217,fol,59",,,,,
"Add. 17,217, fol. 41",2,484,485,DCX,6c-7c,,,"Add.17,217,fol.41","Add.17,217,fol.39",,,,,
"Add. 17,217, fol. 42",2,1025,1025,DCCCXC,7c-8c,,,"Add.17,217,fol.42","Add.17,217,fol.40",,,,,
