Shelfmark ,Catalogue volume,Catalog pp. (begin),Catalog pp. (end),Wright’s Numeration ,Wright’s Dating,,Wright Numeration OCR,Shelfmark,ShelfmarkOCR,,,,,MS to fix
"Add. 17,217, fol. 43",2,793,793,DCCXCVI,9c,,,"Add.17,217,fol.43","Add.17,217,fol.41",,,,,
"Add. 17,217, fol. 44",2,1025,1025,DCCCXCIII,9c,,,"Add.17,217,fol.44","Add.17,217,fol.42",,,,,
"Add. 17,217, fol. 45",3,1101,1101,DCCCCXLVII,7c-8c,,,"Add.17,217,fol.45","Add.17,217,fol.43",,,,,
"Add. 17,217, fol. 48",2,1024,1025,DCCCLXXXVII,6c-7c,,,"Add.17,217,fol.48","Add.17,217,fol.44",,,,,
"Add. 17,217, fol. 49",2,1025,1025,DCCCLXXXVIII,7c,,,"Add.17,217,fol.49","Add.17,217,fol.45",,,,,
"Add. 17,217, fol. 50",2,1024,1024,DCCCLXXXIV,6c-7c,,,"Add.17,217,fol.50","Add.17,217,fol.48",,,,,
"Add. 17,217, fol. 51",2,1024,1024,DCCCLXXXV,6c-7c,,,"Add.17,217,fol.51","Add.17,217,fol.49",,,,,
"Add. 17,217, fol. 52",2,1024,1024,DCCCLXXXI,6c,,,"Add.17,217,fol.52","Add.17,217,fol.50",,,,,
"Add. 17,217, fol. 53",2,1025,1026,DCCCXCV,9c,,,"Add.17,217,fol.53","Add.17,217,fol.51",,,,,
"Add. 17,217, fol. 54",1,146,146,CCXIX,6c-7c,,,"Add.17,217,fol.54","Add.17,217,fol.52",Here,,,,
"Add. 17,217, fol. 59",3,1195,1195,MXIII,8c,,,"Add.17,217,fol.59","Add.17,217,fol.53",Here,,,,
"Add. 17,217, fol. 60",3,1194,1194,MIX,6c,,,"Add.17,217,fol.60","Add.17,217,fol.60",Here,,,,
"Add. 17,217, fol. 61",3,1197,1197,MXXIII,8c,,,"Add.17,217,fol.61","Add.17,217,fol.61",Here,,,,
"Add. 17,217, fol. 63",3,1195,1195,MXII,illegible,,,"Add.17,217,fol.63","Add.17,217,fol.63",Here,,,,
"Add. 17,217, foll. 1-19",2,613,613,DCCXVI,9c-10c,,,"Add.17,217,foll.1-19","Add.17,217,foll.1-19",Here,,,,
"Add. 17,217, foll. 20-32",2,482,482,DCVI,9c,,,"Add.17,217,foll.20-32","Add.17,217,foll.20-32",Here,,,,
"Add. 17,217, foll. 33-36",2,488,488,DCXV,8c,,,"Add.17,217,foll.33-36","Add.17,217,foll.33-36",Here,,,,
"Add. 17,217, foll. 37,38",3,1168,1172,DCCCCXCVI,9c-10c,,,"Add.17,217,foll.37,38","Add.17,217,foll.37,38",Here,,,,
"Add. 17,217, foll. 46,47",2,45,45,DLXXI,9c-10c,,,"Add.17,217,foll.46,47","Add.17,217,foll.46,47",Here,,,,
"Add. 17,217, foll. 55,56",2,1025,1025,DCCCXCIV,9c,,,"Add.17,217,foll.55,56","Add.17,217,foll.55,56",Here,,,,
"Add. 17,217, foll. 57,58",2,818,818,DCCCIX,10c,,,"Add.17,217,foll.57,58","Add.17,217,foll.57,58",Here,,,,
"Add. 17,217, foll. 62",3,12,12,MXXXIV,(notgiven),,,"Add.17,217,foll.62","Add.17,217,foll.62",Here,,,,
"Add. 17,218, fol. 3",1,303,303,CCCLXXII,9c,,,"Add.17,218,fol.3","Add.17,218,fol.3",Here,,,,
"Add. 17,218, fol. 43",2,415,415,DXLIII,7c,,,"Add.17,218,fol.43","Add.17,218,fol.43",Here,,,,
"Add. 17,218, fol. 47",1,367,367,CCCCLVII,10c,,,"Add.17,218,fol.47","Add.17,218,fol.58",Here,,,,
"Add. 17,218, fol. 52",1,384,384,CCCCXCVII,9c,,,"Add.17,218,fol.52","Add.17,218,fol.84",Here,,,,
"Add. 17,218, fol. 55",1,395,395,DXVII,12c,,,"Add.17,218,fol.55","Add.17,218,fol.89",Here,,,,
"Add. 17,218, fol. 56",1,316,316,CCCCIV,11c,,,"Add.17,218,fol.56","Add.17,218,fol.90",Here,,,,
"Add. 17,218, fol. 57",1,274,274,CCCXXVIII,11c-12c,,,"Add.17,218,fol.57","Add.17,218,fol.97",Here,,,,
"Add. 17,218, fol. 58",2,1026,1026,DCCCXCVII,9c-10c,,,"Add.17,218,fol.58","Add.17,218,foL47",Here,,,,
"Add. 17,218, fol. 84",2,1024,1024,DCCCLXXXII,6c,,,"Add.17,218,fol.84","Add.17,218,foL52",Here,,,,
"Add. 17,218, fol. 89",2,1026,1026,DCCCXCVIII,10c,,,"Add.17,218,fol.89","Add.17,218,foL55",Here,,,,
"Add. 17,218, fol. 90",1,1,1,CLX,10c,,,"Add.17,218,fol.90","Add.17,218,foL56",Here,,,,
"Add. 17,218, fol. 97",3,12,12,MXXXV,(notgiven),,,"Add.17,218,fol.97","Add.17,218,foL57",Here,,,,
"Add. 17,218, foll,53,54",1,233,233,CCXCVII,8c,,,"Add.17,218,foll,53,54","Add.17,218,foll.23-40",Here,,,,
"Add. 17,218, foll. 23-40",1,154,154,CCXXIII,9c-10c,,,"Add.17,218,foll.23-40","Add.17,218,foll.44-46",Here,,,,
"Add. 17,218, foll. 4-22",1,202,202,CCLII,11c,,,"Add.17,218,foll.4-22","Add.17,218,foll.48,49",Here,,,,
"Add. 17,218, foll. 44-46",1,365,365,CCCCLII,8c-9c,,,"Add.17,218,foll.44-46","Add.17,218,foll.4f-22",Here,,,,
"Add. 17,218, foll. 48,49",1,384,384,CCCCXCVIII,9c-10c,,,"Add.17,218,foll.48,49","Add.17,218,foll.50,51",Here,,,,
"Add. 17,218, foll. 50,51",1,367,367,CCCCLVIII,11c,,,"Add.17,218,foll.50,51","Add.17,218,foll.59-69",Here,,,,
"Add. 17,218, foll. 59-69",2,514,514,DCLV,9c,,,"Add.17,218,foll.59-69","Add.17,218,foll.63,64",Here,,,,
"Add. 17,218, foll. 70-83",2,806,806,DCCCII,9c,,,"Add.17,218,foll.70-83","Add.17,218,foll.70-83",Here,,,,
"Add. 17,218, foll. 85,86",2,1018,1018,DCCCLXXI,9c,,,"Add.17,218,foll.85,86","Add.17,218,foll.85and86",Here,,,,
"Add. 17,218, foll. 87,88",2,1016,1017,DCCCLXVII,7c-8c,,,"Add.17,218,foll.87,88","Add.17,218,foll.87,88",Here,,,,
"Add. 17,218, foll. 91-96",1,177,177,CCXL,12c,,,"Add.17,218,foll.91-96","Add.17,218,foll.91-96",Here,,,,
"Add. 17,219 ",1,134,136,CXCI,13c,,,"Add.17,219","Add.17,219",Here,,,,
"Add. 17,220 ",1,133,134,CXC,13c,,,"Add.17,220","Add.17,220",Here,,,,
"Add. 17,221 ",1,145,145,CCXVIII,14c-15c,,,"Add.17,221","Add.17,221",Here,,,,
"Add. 17,222 ",1,143,143,CCX,13c,,,"Add.17,222","Add.17,223",Here,,,,
"Add. 17,223 ",1,137,137,CXCVII,14c,,,"Add.17,223","Add.17,224,fol.18",Here,,,,
"Add. 17,224, fol. 18",1,298,298,CCCLXII,13c,,,"Add.17,224,fol.18","Add.17,224,fol.36",Here,,,,
"Add. 17,224, fol. 36",3,1198,1198,MXXVIII,13c,,,"Add.17,224,fol.36","Add.17,224,fol.66",Here,,,,
"Add. 17,224, fol. 66",1,71,71,CXI,13c,,,"Add.17,224,fol.66","Add.17,224,fol.75",Here,,,,
"Add. 17,224, fol. 75",1,178,178,CCXLI,13c,,,"Add.17,224,fol.75","Add.17,224,fol.76",Here,,,,
"Add. 17,224, fol. 76",3,1198,1198,MXXVI,11c-12c,,,"Add.17,224,fol.76","Add.17,224,fol.-77",Here,,,,
"Add. 17,224, fol. 77",3,1199,1199,MXXX,13c,,,"Add.17,224,fol.77","Add.17,224,foll.19-21",Here,,,,
"Add. 17,224, foll. 1-17",1,306,306,CCCLXXVI,13c,,,"Add.17,224,foll.1-17","Add.17,224,foll.22-33",Here,,,,
"Add. 17,224, foll. 19-21",1,174,175,CCXXXIII,13c-14c,,,"Add.17,224,foll.19-21","Add.17,224,foll.34,35",Here,,,,
"Add. 17,224, foll. 22-33",1,173,174,CCXXX,13c,,,"Add.17,224,foll.22-33","Add.17,224,foll.37-42",Here,,,,
"Add. 17,224, foll. 34,35",1,194,194,CCXLIX,12c-13c,,,"Add.17,224,foll.34,35","Add.17,224,foll.43-57",Here,,,,
"Add. 17,224, foll. 37-42",1,69,70,CIX,13c,,,"Add.17,224,foll.37-42","Add.17,224,foll.58-65",Here,,,,
"Add. 17,224, foll. 43-57",1,67,67,XCVIII,1173,,,"Add.17,224,foll.43-57","Add.17,224,foll.67-70",Here,,,,
"Add. 17,224, foll. 58-65",1,66,66,XCV,13c,,,"Add.17,224,foll.58-65","Add.17,224,foll.71and72",Here,,,,
"Add. 17,224, foll. 67-70",1,95,95,CXLVIII,13c,,,"Add.17,224,foll.67-70","Add.17,224,foll.73and74",Here,,,,
"Add. 17,224, foll. 71,72",1,95,95,CXLIX,13c,,,"Add.17,224,foll.71,72",,Here,,,,
"Add. 17,224, foll. 73,74",1,95,95,CLI,13c-14c,,,"Add.17,224,foll.73,74",,Here,,,,
"Add. 17,225 ",1,72,73,CXVII,13c,,,"Add.17,225","Add.17,225",,,,,
"Add. 17,226 ",1,79,79,CXXIV,13c-14c,,,"Add.17,226","Add.17,226",,,,,
"Add. 17,227 ",1,94,95,CXLVII,1254,,,"Add.17,227","Add.17,227",,,,,
"Add. 17,228, foll. 1-37",1,96,96,CLIII,13c,,,"Add.17,228,foll.1-37",,Here,,,,
"Add. 17,228, foll. 38-64",1,83,83,CXXXI,13c,,,"Add.17,228,foll.38-64","Add.17,228,foll.38-64",,,,,
"Add. 17,229, foll. 1-47",1,207,208,CCLXIII,1218,,,"Add.17,229,foll.1-47","Add.17,229,foll.1-47",,,,,
"Add. 17,229, foll. 48-77",1,209,209,CCLXV,13c,,,"Add.17,229,foll.48-77","Add.17,229,foll.48-77",,,,,
"Add. 17,230, foll. 1-19",1,234,234,CCCI,14c,,,"Add.17,230,foll.1-19",,Here,,,,
"Add. 17,230, foll. 20-46",1,234,235,CCCII,1337,,,"Add.17,230,foll.20-46","Add.17,230,foll.20-46",,,,,
"Add. 17,231 ",1,299,301,CCCLXIV,1484,,,"Add.17,231","Add.17,231",,,,,
"Add. 17,232 ",1,371,374,CCCCLXIX,1210,,,"Add.17,232","Add.17,232",,,,,
"Add. 17,233, foll. 1-79",1,316,317,CCCCVI,13c,,,"Add.17,233,foll.1-79","Add.17,233,foll.80-151",,,,,
"Add. 17,233, foll. 80-151",1,325,326,CCCCXVI,13c,,,"Add.17,233,foll.80-151","Add.17,233,fon.1-79",,,,,
"Add. 17,234 ",1,317,318,CCCCVII,13c,,,"Add.17,234","Add.17,234",,,,,
"Add. 17,235 ",1,276,277,CCCXXXIII,13c,(early),,"Add.17,235","Add.17,236",Here,,,,
"Add. 17,236 ",1,318,320,CCCCVIII,1284,,,"Add.17,236","Add.17,236",,,,,
"Add. 17,237 ",1,306,307,CCCLXXVIII,13c-14c,,,"Add.17,237","Add.17,237",,,,,
"Add. 17,238 ",1,353,354,CCCCXXXIX,13c,,,"Add.17,238","Add.17,238",,,,,
"Add. 17,239, foll. 1-15",1,212,213,CCLXXVIII,14c,,,"Add.17,239,foll.1-15","Add.17,239,foll.1-16",Here,,,,
"Add. 17,239, foll. 16-60",1,314,314,CCCXCVI,1518,,,"Add.17,239,foll.16-60","Add.17,239,foll.16-60",,,,,
"Add. 17,240 ",1,326,327,CCCCXVII,13c,,,"Add.17,240","Add.17,240",,,,,
"Add. 17,241 ",1,312,312,CCCXCII,13c,,,"Add.17,241","Add.17,241",,,,,
"Add. 17,242, foll. 105-127",2,517,517,DCLXVII,12c,,,"Add.17,242,foll.105-127","Add.17,242,foll.105-127",,,,,
"Add. 17,242, foll. 1-104",2,504,504,DCXXXV,11c-12c,,,"Add.17,242,foll.1-104","Add.17,242,foll.1-104",,,,,
"Add. 17,243 ",1,290,291,CCCXLV,13c,,,"Add.17,243","Add.17,243",,,,,
"Add. 17,244 ",1,354,354,CCCCXL,13c,,,"Add.17,244","Add.17,244",,,,,
"Add. 17,245 ",1,301,302,CCCLXVI,13c,,,"Add.17,245",,Here,,,,
"Add. 17,246, foll. 1-74",1,307,308,CCCLXXX,1239,,,"Add.17,246,foll.1-74","Add.17,246,foll.1-74",,,,,
"Add. 17,246, foll. 75-84",1,308,308,CCCLXXXI,1239,,,"Add.17,246,foll.75-84",,Here,,,,
"Add. 17,246, foll. 85-90",1,308,308,CCCLXXXII,14c,,,"Add.17,246,foll.85-90","Add.17,246,foll.85-90",,,,,
"Add. 17,247 ",1,350,351,CCCCXXXVI,12c,,,"Add.17,247","Add.17,247",,,,,
"Add. 17,248 ",1,369,369,CCCCLXIV,12c,,,"Add.17,248","Add.17,248",,,,,
"Add. 17,249 ",1,303,304,CCCLXXIII,13c-14c,,,"Add.17,249","Add.17,249",,,,,
"Add. 17,250 ",1,313,314,CCCXCV,13c,,,"Add.17,250","Add.17,250",,,,,
"Add. 17,251 ",1,354,355,CCCCXLI,13c,,,"Add.17,251",,Here,,,,
"Add. 17,252 ",1,296,297,CCCLVIII,13c-14c,,,"Add.17,252","Add.17,252",,,,,
"Add. 17,253, foll. 1-69",1,352,353,CCCCXXXVIII,1222,,,"Add.17,253,foll.1-69","Add.17,253,f(jU.1.-69",,,,,
"Add. 17,253, foll. 70-103",1,381,381,CCCCLXXXIX,13c,,,"Add.17,253,foll.70-103",,Here,,,,
"Add. 17,254 ",1,355,356,CCCCXLII,13c,,,"Add.17,254","Add.17,254",,,,,
"Add. 17,255 ",1,357,358,CCCCXLVII,13c,,,"Add.17,255","Add.17,256",Here,,,,
"Add. 17,256, foll. 1-82",1,141,142,CCVIII,1251,,,"Add.17,256,foll.1-82","Add.17,256,foll.83-132",Here,,,,
"Add. 17,256, foll. 83-132",1,142,143,CCIX,1251,,,"Add.17,256,foll.83-132",,Here,,,,
"Add. 17,257, fol. 112",1,138,138,CXCIX,14c,,,"Add.17,257,fol.112","Add.17,257,fol.112",,,,,
"Add. 17,257, fol. 113",1,138,138,CC,14c-15c,,,"Add.17,257,fol.113","Add.17,257,fol.113",,,,,
"Add. 17,257, fol. 74",1,141,141,CCVI,12c-13c,,,"Add.17,257,fol.74","Add.17,257,fol.79",Here,,,,
"Add. 17,257, fol. 75",1,143,143,CCXIII,13c,,,"Add.17,257,fol.75","Add.17,257,foll.103-107",Here,,,,
"Add. 17,257, fol. 79",1,136,137,CXCIV,13c-14c,,,"Add.17,257,fol.79","Add.17,257,foll.1-21",Here,,,,
"Add. 17,257, fol. 80",1,143,143,CCXII,13c,,,"Add.17,257,fol.80","Add.17,257,foll.82,83",Here,,,,
"Add. 17,257, fol. 81",1,144,144,CCXVI,14c,,,"Add.17,257,fol.81","Add.17,257,foll.84-94",Here,,,,
"Add. 17,257, foll. 103-107",1,137,137,CXCV,13c-14c,,,"Add.17,257,foll.103-107","Add.17,257,foll.95-102",Here,,,,
"Add. 17,257, foll. 108-111",1,137,137,CXCVI,13c-14c,,,"Add.17,257,foll.108-111",,Here,,,,
"Add. 17,257, foll. 1-21",1,141,141,CCVII,1248,,,"Add.17,257,foll.1-21",,Here,,,,
"Add. 17,257, foll. 22-73",1,143,144,CCXIV,13c-14c,,,"Add.17,257,foll.22-73",,Here,,,,
"Add. 17,257, foll. 76-78",1,144,144,CCXV,13c-14c,,,"Add.17,257,foll.76-78",,Here,,,,
"Add. 17,257, foll. 82,83",1,129,129,CLXXXV,12c,,,"Add.17,257,foll.82,83",,Here,,,,
"Add. 17,257, foll. 84-94",1,37,37,LVI,13c,,,"Add.17,257,foll.84-94",,Here,,,,
"Add. 17,257, foll. 95-102",1,138,139,CCI,15c,,,"Add.17,257,foll.95-102",,Here,,,,
"Add. 17,258, foll. 1-118",1,381,381,CCCCXCI,13c-14c,,,"Add.17,258,foll.1-118",,Here,,,,
"Add. 17,258, foll. 119-190",1,328,328,CCCCXIX,13c,,,"Add.17,258,foll.119-190","Add.17,258,foll119-190",Here,,,,
"Add. 17,259 ",1,356,357,CCCCXLIII,13c,,,"Add.17,259","Add.17,259",,,,,
"Add. 17,260 ",1,397,398,DXXI,12c-13c,,,"Add.17,260","Add.17,260",,,,,
"Add. 17,261, foll. 1-8",1,357,357,CCCCXLV,13c,,,"Add.17,261,foll.1-8","Add.17,261,foll.1-8",,"Add.17,261",,,
"Add. 17,261, foll. 67-149",1,314,314,CCCXCVII,16c,,,"Add.17,261,foll.67-149","Add.17,261,foll.67-140",Here,,,,
"Add. 17,261, foll. 9-66",1,358,359,CCCCXLIX,13c-14c,,,"Add.17,261,foll.9-66","Add.17,261,foll.9-66",,,,,
"Add. 17,262 ",2,867,873,DCCCXXXVII,12c,,,"Add.17,262","Add.17,262",,,,,
"Add. 17,263 ",3,1079,1080,DCCCCXXXI,13c,,,"Add.17,263","Add.17,263",,,,,
"Add. 17,264 ",3,1078,1079,DCCCCXXX,13c,,,"Add.17,264",,Here,"Add.17,263,foll.70-103",,,
"Add. 17,265 ",3,1140,1141,DCCCCLXII,13c,,,"Add.17,265","Add.17,265",,,,,
"Add. 17,266, foll. 1-50",2,865,865,DCCCXXXIII,12c,(early),,"Add.17,266,foll.1-50","Add.17,266,foll.1-50",,,,,
"Add. 17,266, foll. 51-78",1,128,129,CLXXXIII,12c,,,"Add.17,266,foll.51-78","Add.17,266,foll.51-78",Here,"Add.17,266,foll.1-82",,,
"Add. 17,267, foll. 13-22",2,884,885,DCCCXLV,13c,,,"Add.17,267,foll.13-22","Add.17,267,foll.13-22",Here,"Add.17,267,fol.74",,,
"Add. 17,267, foll. 1-8",2,481,481,DCII,13c,,,"Add.17,267,foll.1-8","Add.17,267,foll.1-8",,"Add.17,267,fol.80",,,
"Add. 17,267, foll. 23-33",2,885,885,DCCCXLVI,13c,,,"Add.17,267,foll.23-33","Add.17,267,foll.23-33",,"Add.17,267,fol.81",,,
"Add. 17,267, foll. 34-49",2,885,886,DCCCXLVII,13c,,,"Add.17,267,foll.34-49","Add.17,267,foll.34-49",,"Add.17,267,foll,76-78",,,
"Add. 17,267, foll. 50-75",3,1146,1146,DCCCCLXIV,13c,,,"Add.17,267,foll.50-75","Add.17,267,foll.50-75",,"Add.17,267,foll.108-111",,,
"Add. 17,267, foll. 9-12",2,884,884,DCCCXLIV,13c,,,"Add.17,267,foll.9-12","Add.17,267,foll.9-12",,"Add.17,267,foll.22-73",,,
"Add. 17,268 ",1,129,129,CLXXXIV,12c,,,"Add.17,268","Add.17,268",,,,,
"Add. 17,269, foll. 1-38",1,382,382,CCCCXCIII,1499,,,"Add.17,269,foll.1-38","Add.17,269,foll.1-38",,"Add.17,268,foll.1-118",,,
"Add. 17,269, foll. 39-80",1,357,357,CCCCXLIV,13c,,,"Add.17,269,foll.39-80","Add.17,269,foll.39-80",,,,,
"Add. 17,269, foll. 81-88",1,213,213,CCLXXXI,15c,,,"Add.17,269,foll.81-88","Add.17,269,foll.81-88",,,,,
"Add. 17,269, foll. 89-92",1,378,378,CCCCLXXXI,14c,,,"Add.17,269,foll.89-92","Add.17,269,foll.89-92",,,,,
"Add. 17,270 ",2,482,482,DCV,9c,,,"Add.17,270","Add.17,270",,"Add.17,26i",,,
"Add. 17,271 ",1,297,298,CCCLX,12c-13c,,,"Add.17,271","Add.17,271",,,,,
"Add. 17,272, foll. 100-105",1,296,296,CCCLVI,13c,,,"Add.17,272,foll.100-105","Add.17,272,foll.100-106",Here,,,,
"Add. 17,272, foll. 106-112",1,324,324,CCCCXI,13c,,,"Add.17,272,foll.106-112",,Here,,,,
"Add. 17,272, foll. 1-29",1,311,311,CCCLXXXVIII,13c,,,"Add.17,272,foll.1-29","Add.17,272,foll.30-63",,,,,
"Add. 17,272, foll. 30-63",2,517,517,DCLXXI,1565,,,"Add.17,272,foll.30-63","Add.17,272,foll.64-67",,,,,
"Add. 17,272, foll. 64-67",3,1148,1148,DCCCCLXVIII,12c,,,"Add.17,272,foll.64-67","Add.17,272,foll.68-74",,,,,
"Add. 17,272, foll. 68-74",2,1022,1023,DCCCLXXIX,13c,,,"Add.17,272,foll.68-74","Add.17,272,foll.75-99",,,,,
"Add. 17,272, foll. 75-99",1,298,298,CCCLXI,13c,,,"Add.17,272,foll.75-99","Add.17,272,folL1-29",,,,,
"Add. 17,273 ",1,347,349,CCCCXXXI,9c,,,"Add.17,273","Add.17,273",,,,,
"Add. 17,274 ",2,62,62,DCCXX,11c-12c,,,"Add.17,274","Add.17,274",,,,,
"Add. 17,922 ",1,6,6,LXXXIV,1222-3,,,"Add.17,922","Add.17,922",,"Add.17,280,foll.1-19",,,
"Add. 17,923 ",1,182,188,CCXLVI,11c,,,"Add.17,923",,Here,"Add.17,2f8,foll.41,42",,,
"Add. 17,983 ",1,61,62,LXXXVI,1438,,,"Add.17,983","Add.17,983",,Add.17.166,,,
"Add. 18,295 ",3,1183,1184,MII,1603,,,"Add.18,295","Add.18,295",,,,,
"Add. 18,296 ",2,628,630,DCCXXV,1714,,,"Add.18,296","Add.18,296",,,,,
"Add. 18,714 ",1,161,167,CCXXVI,1214,,,"Add.18,714","Add.18,714",,,,,
"Add. 18,715 ",1,18,20,XXXII,12c,,,"Add.18,715","Add.18,715",,,,,
"Add. 18,716 ",2,901,903,DCCCLI,15c-16c,,,"Add.18,716","Add.18,716",,,,,
"Add. 18,812 ",1,83,83,CXXIX,6c-7c,,,"Add.18,812","Add.18,812",,,,,
"Add. 18,813 ",2,729,731,DCCLXIII,7c,,,"Add.18,813","Add.18,813",,,,,
"Add. 18,814, foll. 103-262",2,793,796,DCCXCVII,9c,,,"Add.18,814,foll.103-262","Add.18,814,foll.103-262",,,,,
"Add. 18,814, foll. 1-102",2,734,736,DCCLXVII,7c-8c,,,"Add.18,814,foll.1-102","Add.18,814,foll.1-102",,,,,
"Add. 18,815",2,436,437,DLIX,9c,,,"Add.18,815","Add.18,815",,,,,
"Add. 18,816",1,339,340,CCCCXXII,9c,,,"Add.18,816","Add.18,816",,,,,
"Add. 18,817",2,803,806,DCCCI,9c,,,"Add.18,817","Add.18,817",,,,,
"Add. 18,818",2,489,489,DCXVII,7c,,,"Add.18,818","Add.18,818",,,,,
"Add. 18,819, foll. 110-120",1,345,345,CCCCXXVIII,10c-11c,,,"Add.18,819,foll.110-120","Add.18,819,foll.110-120",,,,,
"Add. 18,819, foll. 1-91",1,340,341,CCCCXXIV,9c-10c,,,"Add.18,819,foll.1-91","Add.18,819,foll.1-91",,,,,
"Add. 18,819, foll. 92-109",1,34,34,CCCCXXIII,884,,,"Add.18,819,foll.92-109","Add.18,819,foll.92-109",,,,,
"Add. 18,820, foll. 1-16",1,276,276,CCCXXXII,12c,,,"Add.18,820,foll.1-16","Add.18,820,foll.1-16",,,,,
"Add. 18,820, foll. 17-55",1,269,270,CCCXXIII,11c-12c,,,"Add.18,820,foll.17-55","Add.18,820,foll.17-55",,,,,
"Add. 18,821 ",2,775,776,DCCLXXXVI,9c,,,"Add.18,821","Add.18,821",,,,,
"Add. 21,031",1,327,328,CCCCXVIII,1213,,,"Add.21,031","Add.21,031",,,,,
"Add. 21,210",2,876,882,DCCCXLI,1242,,,"Add.21,210","Add.21,210",,,,,
"Add. 21,211",3,1180,1182,MI,1831,,,"Add.21,211","Add.21,211",,,,,
"Add. 21,454",3,1165,1167,DCCCCXCV,13c,,,"Add.21,454","Add.21,454",,,,,
"Add. 21,580 ",2,624,626,DCCXXIII,1478,,,"Add.21,580","Add.21,580",,,,,
"Add. 22,370",2,500,501,DCXXIX,14c-15c,,,"Add.22,370","Add.22,370",,,,,
"Add. 23,596",2,626,628,DCCXXIV,1720,,,"Add.23,596","Add.23,596",,,,,
"Add. 23,597",3,1173,1174,DCCCCXCVIII,18c,,,"Add.23,597","Add.23,599",Here,,,,
"Add. 25,874",1,213,214,CCLXXXII,1740,,,"Add.25,874","Add.25,874",,"Add.23,600",,,
"Add. 25,875",3,1064,1069,DCCCCXXII,1709-10,,,"Add.25,875","Add.25,875",,"Add.23,601",,,
"Add. 25,876",3,1174,1179,DCCCCXCIX,16c,,,"Add.25,876","Add.25,876",,"Add.23,602.A,foll.1-75",,,
"Add. 25,877",3,1179,1179,M,1733,,,"Add.25,877","Add.25,877",,"Add.23,602.A,foll.76-98",,,
"Add. 25,878, foll. 1-70",3,1192,1193,MVIII,17c,,,"Add.25,878,foll.1-70",,Here,"Add.23,602.A,foll.99-101",,,
"Add. 25,878, foll. 71-87",1,139,139,CCII,15c,,,"Add.25,878,foll.71-87","Add.25,878,foll.71-87",,"Add.23,602.B,fol.22",,,
"Add. 26,552 ",1,137,138,CXCVIII,14c,,,"Add.26,552","Add.26,552",,"Add.23,602.B,fol.25",,,
Egerton 681 ,1,190,194,CCXLVIII,1206-07,,,Egerton681,,,"Add.23,602.B,foll.1-18",,,
Egerton 703 ,1,237,239,CCCV,1683,,,Egerton703,,,"Add.23,602.B,foll.19-21",,,
Egerton 704 ,1,1,3,I,17c,,,Egerton704,,,"Add.23,602.B,foll.23,24",,,
Egerton 709 ,3,1190,1191,MVII,16c,,,Egerton709,,,"Add.23,602.B,foll.26-28",,,
Harl. 5512 ,1,214,216,CCLXXXIII,1549,,,Harl.5512,,,"Add.I47O8,foll.1-51",,,
Orient. 1017 ,2,890,901,DCCCL,1364,,,Orient.1017,,,"Add.i7,272,foll.106-112",,,
Sloane 3597 ,1,236,237,CCCIV,1701-2,,,Sloane3597,,,,,,
